,Unnamed: 0,Date,Category,title,href,freeShipping,numsold,rating,noofcomment
24,29,2023-03-13 01:32:17.057355,Comfy Home Slipper,Candia Women Ladies Anti Slip Indoor Slipper Thick Sole Slip On Sandals J2E2215,/Candia-Women-Ladies-Anti-Slip-Indoor-Slipper-Thick-Sole-Slip-On-Sandals-J2E2215-i.128204291.19762457022,Yes,154.0,5.0,162.0
25,29,2023-03-13 01:32:22.424512,TWS Wireless Earbuds,TWS M25 Bluetooth Earphone Wireless Headphone 9D Stereo Sports Gaming Earbuds LED Mic Wireless Earbud Fon Telinga 无线蓝牙耳机,/TWS-M25-Bluetooth-Earphone-Wireless-Headphone-9D-Stereo-Sports-Gaming-Earbuds-LED-Mic-Wireless-Earbud-Fon-Telinga-无线蓝牙耳机-i.144305769.2311868191,Yes,242.0,5.0,12222.0
26,29,2023-03-13 01:32:27.777706,Spender Panties,High Waist Women Spender Celana Panties Underwear Seluar Dalam Wanita  Plus Size Breathable  Ladies Cotton 内褲,/High-Waist-Women-Spender-Celana-Panties-Underwear-Seluar-Dalam-Wanita-Plus-Size-Breathable-Ladies-Cotton-内褲-i.415497057.11015150085,Yes,454.0,5.0,951.0
27,29,2023-03-13 01:32:33.128138,Seamless Silk Panties,Ready Stock Premium Quality High Waist High Elastic 3D Honeycomb Underwear Panties Warm Seluar Dalam Free Size,/Ready-Stock-Premium-Quality-High-Waist-High-Elastic-3D-Honeycomb-Underwear-Panties-Warm-Seluar-Dalam-Free-Size-i.2664101.9705907255,Yes,416.0,5.0,1745.0
28,29,2023-03-13 01:32:38.470399,Comfortable Tudung Sarung,TUDUNG SARUNG COTTON SAIZ XL ANTI KEDUT/IRONLESS/TUDUNG TRAVEL/ALTAHIR/ALFARO,/TUDUNG-SARUNG-COTTON-SAIZ-XL-ANTI-KEDUT-IRONLESS-TUDUNG-TRAVEL-ALTAHIR-ALFARO-i.93404946.21104245425,Yes,393.0,5.0,992.0
29,29,2023-03-13 01:32:43.814513,Cotton Socks,NBV Unisex Socks Funny Cute Cartoon Fruits Banana Avocado Lemon Egg Cookie Donuts Food Harajuku skateboard Maternity,/NBV-Unisex-Socks-Funny-Cute-Cartoon-Fruits-Banana-Avocado-Lemon-Egg-Cookie-Donuts-Food-Harajuku-skateboard-Maternity-i.19131635.6319928765,Yes,462.0,5.0,671.0
30,29,2023-03-13 02:32:59.231639,TWS Wireless Earbuds,TWS M25 Bluetooth Earphone Wireless Headphone 9D Stereo Sports Gaming Earbuds LED Mic Wireless Earbud Fon Telinga 无线蓝牙耳机,/TWS-M25-Bluetooth-Earphone-Wireless-Headphone-9D-Stereo-Sports-Gaming-Earbuds-LED-Mic-Wireless-Earbud-Fon-Telinga-无线蓝牙耳机-i.144305769.2311868191,Yes,242.0,5.0,12222.0
31,29,2023-03-13 02:33:04.643944,Comfy Home Slipper,Candia Women Ladies Anti Slip Indoor Slipper Thick Sole Slip On Sandals J2E2215,/Candia-Women-Ladies-Anti-Slip-Indoor-Slipper-Thick-Sole-Slip-On-Sandals-J2E2215-i.128204291.19762457022,Yes,154.0,5.0,162.0
32,29,2023-03-13 02:33:10.085909,Variety Of Sambal,[Travel Pack] Sambal Bilis Pedas Berapi | Sambal Bilis Kering | Sambal Bilis Rangup | Sambal Bilis Pedas Menangis (10g)🔥,/-Travel-Pack-Sambal-Bilis-Pedas-Berapi-Sambal-Bilis-Kering-Sambal-Bilis-Rangup-Sambal-Bilis-Pedas-Menangis-(10g)🔥-i.85504614.17226678663,Yes,133.0,5.0,325.0
33,29,2023-03-13 02:33:15.450056,Sampul Raya,Sampul Duit Raya 2023 | 1 PACK (5 PCS) | 12 Design EXCLUSIVE | READY STOCK | Fast Delivery !,/Sampul-Duit-Raya-2023-1-PACK-(5-PCS)-12-Design-EXCLUSIVE-READY-STOCK-Fast-Delivery-!-i.326363516.8518748738,Yes,160.0,5.0,1607.0
34,29,2023-03-13 02:33:20.800980,Spender Panties,BUTTON CO PLUS SIZE M - XXL HIGH WAIST WOMEN PANTIES SPENDER UNDERWEAR SELUAR DALAM WANITA PEREMPUAN 女生内裤  HW PLAIN 306,/BUTTON-CO-PLUS-SIZE-M-XXL-HIGH-WAIST-WOMEN-PANTIES-SPENDER-UNDERWEAR-SELUAR-DALAM-WANITA-PEREMPUAN-女生内裤-HW-PLAIN-306-i.389225218.10587142699,Yes,447.0,5.0,1014.0
35,29,2023-03-13 02:33:26.164483,Soft Knitting Yarn,Milk Cotton 4 Ply Colour Benang Kait 4 Ply Knitting Yarn Milk Cotton Crockhet Yarn Good Quality Sweet Colour,/Milk-Cotton-4-Ply-Colour-Benang-Kait-4-Ply-Knitting-Yarn-Milk-Cotton-Crockhet-Yarn-Good-Quality-Sweet-Colour-i.471574486.8174645676,Yes,256.0,5.0,183.0
36,29,2023-03-13 03:33:41.625408,TWS Wireless Earbuds,TWS M25 Bluetooth Earphone Wireless Headphone 9D Stereo Sports Gaming Earbuds LED Mic Wireless Earbud Fon Telinga 无线蓝牙耳机,/TWS-M25-Bluetooth-Earphone-Wireless-Headphone-9D-Stereo-Sports-Gaming-Earbuds-LED-Mic-Wireless-Earbud-Fon-Telinga-无线蓝牙耳机-i.144305769.2311868191,Yes,242.0,5.0,12222.0
37,29,2023-03-13 03:33:47.051650,Comfy Home Slipper,Candia Women Ladies Anti Slip Indoor Slipper Thick Sole Slip On Sandals J2E2215,/Candia-Women-Ladies-Anti-Slip-Indoor-Slipper-Thick-Sole-Slip-On-Sandals-J2E2215-i.128204291.19762457022,Yes,154.0,5.0,162.0
38,29,2023-03-13 03:33:52.424977,Variety Of Sambal,[Travel Pack] Sambal Bilis Pedas Berapi | Sambal Bilis Kering | Sambal Bilis Rangup | Sambal Bilis Pedas Menangis (10g)🔥,/-Travel-Pack-Sambal-Bilis-Pedas-Berapi-Sambal-Bilis-Kering-Sambal-Bilis-Rangup-Sambal-Bilis-Pedas-Menangis-(10g)🔥-i.85504614.17226678663,Yes,133.0,5.0,325.0
39,29,2023-03-13 03:33:57.791422,Sampul Raya,Sampul Duit Raya 2023 | 1 PACK (5 PCS) | 12 Design EXCLUSIVE | READY STOCK | Fast Delivery !,/Sampul-Duit-Raya-2023-1-PACK-(5-PCS)-12-Design-EXCLUSIVE-READY-STOCK-Fast-Delivery-!-i.326363516.8518748738,Yes,160.0,5.0,1607.0
40,29,2023-03-13 03:34:03.239019,Spender Panties,BUTTON CO PLUS SIZE M - XXL HIGH WAIST WOMEN PANTIES SPENDER UNDERWEAR SELUAR DALAM WANITA PEREMPUAN 女生内裤  HW PLAIN 306,/BUTTON-CO-PLUS-SIZE-M-XXL-HIGH-WAIST-WOMEN-PANTIES-SPENDER-UNDERWEAR-SELUAR-DALAM-WANITA-PEREMPUAN-女生内裤-HW-PLAIN-306-i.389225218.10587142699,Yes,447.0,5.0,1014.0
41,29,2023-03-13 03:34:08.606112,Soft Knitting Yarn,Milk Cotton 4 Ply Colour Benang Kait 4 Ply Knitting Yarn Milk Cotton Crockhet Yarn Good Quality Sweet Colour,/Milk-Cotton-4-Ply-Colour-Benang-Kait-4-Ply-Knitting-Yarn-Milk-Cotton-Crockhet-Yarn-Good-Quality-Sweet-Colour-i.471574486.8174645676,Yes,256.0,5.0,183.0
42,29,2023-03-13 04:34:22.989550,TWS Wireless Earbuds,TWS M25 Bluetooth Earphone Wireless Headphone 9D Stereo Sports Gaming Earbuds LED Mic Wireless Earbud Fon Telinga 无线蓝牙耳机,/TWS-M25-Bluetooth-Earphone-Wireless-Headphone-9D-Stereo-Sports-Gaming-Earbuds-LED-Mic-Wireless-Earbud-Fon-Telinga-无线蓝牙耳机-i.144305769.2311868191,Yes,242.0,5.0,12222.0
43,29,2023-03-13 04:34:28.352495,Comfy Home Slipper,Candia Women Ladies Anti Slip Indoor Slipper Thick Sole Slip On Sandals J2E2215,/Candia-Women-Ladies-Anti-Slip-Indoor-Slipper-Thick-Sole-Slip-On-Sandals-J2E2215-i.128204291.19762457022,Yes,154.0,5.0,162.0
44,29,2023-03-13 04:34:33.728684,Variety Of Sambal,[Travel Pack] Sambal Bilis Pedas Berapi | Sambal Bilis Kering | Sambal Bilis Rangup | Sambal Bilis Pedas Menangis (10g)🔥,/-Travel-Pack-Sambal-Bilis-Pedas-Berapi-Sambal-Bilis-Kering-Sambal-Bilis-Rangup-Sambal-Bilis-Pedas-Menangis-(10g)🔥-i.85504614.17226678663,Yes,133.0,5.0,325.0
45,29,2023-03-13 04:34:39.099368,Sampul Raya,Sampul Duit Raya 2023 | 1 PACK (5 PCS) | 12 Design EXCLUSIVE | READY STOCK | Fast Delivery !,/Sampul-Duit-Raya-2023-1-PACK-(5-PCS)-12-Design-EXCLUSIVE-READY-STOCK-Fast-Delivery-!-i.326363516.8518748738,Yes,160.0,5.0,1607.0
